epoch,loss,val_acc,lr,time_s
1,30.2748880215618,0.07802610759493671,0.0,141.61606335639954
2,30.25598694296444,0.21261867088607594,2.557544757033248e-07,141.1924262046814
3,30.24032994243495,0.2322982594936709,5.115089514066496e-07,141.3564715385437
4,30.216805167820144,0.24970332278481014,7.672634271099745e-07,141.3812780380249
5,30.17623134037418,0.25583465189873417,1.0230179028132991e-06,141.3373725414276
6,30.146822980602686,0.2520767405063291,1.2787723785166241e-06,141.69279313087463
7,30.12937905782324,0.26948180379746833,1.534526854219949e-06,141.53652691841125
8,30.114573686019234,0.2731408227848101,1.7902813299232737e-06,141.84354948997498
9,30.100828643954927,0.27927215189873417,2.0460358056265983e-06,141.81234335899353
10,30.08786374650648,0.2881724683544304,2.301790281329923e-06,141.81821751594543
11,30.07567449603849,0.31210443037974683,2.5575447570332483e-06,141.733638048172
12,30.064560565802143,0.331190664556962,2.813299232736573e-06,142.00393414497375
13,30.05449657488967,0.3480023734177215,3.069053708439898e-06,142.11463570594788
14,30.045512728678904,0.372626582278481,3.3248081841432226e-06,142.08727383613586
15,30.037522357443105,0.3803401898734177,3.5805626598465474e-06,141.87632703781128
16,30.030208777893534,0.3995253164556962,3.836317135549873e-06,141.74327087402344
17,30.023418948473527,0.41693037974683544,4.0920716112531966e-06,141.74496722221375
18,30.017373180145498,0.4131724683544304,4.347826086956522e-06,141.7189075946808
19,30.01168837876576,0.4495648734177215,4.603580562659846e-06,141.5724902153015
20,30.006418808646824,0.448378164556962,4.859335038363172e-06,141.56525826454163
21,30.00149142467762,0.4542128164556962,5.1150895140664966e-06,141.70494961738586
22,29.996963857080015,0.47676028481012656,5.370843989769821e-06,141.83006882667542
23,29.992786461130127,0.47814477848101267,5.626598465473146e-06,141.7489881515503
24,29.988870371942934,0.46677215189873417,5.882352941176471e-06,141.6914143562317
25,29.985220165203906,0.4982199367088608,6.138107416879796e-06,141.6547031402588
26,29.98172738545996,0.48724287974683544,6.3938618925831205e-06,141.6834306716919
27,29.97861533884502,0.5063291139240507,6.649616368286445e-06,141.51098918914795
28,29.975780965117238,0.5144382911392406,6.90537084398977e-06,141.68678760528564
29,29.9730738130067,0.5189873417721519,7.161125319693095e-06,141.61178755760193
30,29.97066721708878,0.5361946202531646,7.41687979539642e-06,142.03841996192932
31,29.96864435434951,0.5361946202531646,7.672634271099745e-06,141.71698117256165
32,29.966680170629946,0.537381329113924,7.928388746803068e-06,141.8842113018036
33,29.964978986384008,0.5472705696202531,8.184143222506393e-06,141.76914286613464
34,29.963468941886102,0.5494462025316456,8.43989769820972e-06,141.92668461799622
35,29.962172486288164,0.5575553797468354,8.695652173913044e-06,141.88024616241455
36,29.960997188792508,0.5671479430379747,8.951406649616368e-06,141.93608474731445
37,29.96000417236172,0.575751582278481,9.207161125319692e-06,141.51150250434875
38,29.959171397606735,0.5885087025316456,9.462915601023019e-06,141.81104350090027
39,29.958346286393187,0.5784216772151899,9.718670076726344e-06,141.91641187667847
40,29.957618620694447,0.5893987341772152,9.974424552429667e-06,142.0675950050354
41,29.95703514762547,0.5918710443037974,1.0230179028132993e-05,141.8269441127777
42,29.9565723741146,0.5803006329113924,1.0485933503836318e-05,141.82671356201172
43,29.956083536757838,0.6035403481012658,1.0741687979539643e-05,141.88416719436646
44,29.955632709786105,0.6056170886075949,1.0997442455242966e-05,141.8785707950592
45,29.955186819481423,0.6126384493670886,1.1253196930946292e-05,141.86976194381714
46,29.954818174357303,0.6077927215189873,1.1508951406649617e-05,141.87717962265015
47,29.95443472411017,0.6292523734177216,1.1764705882352942e-05,141.69612002372742
48,29.954198603130056,0.6281645569620253,1.2020460358056265e-05,141.7418041229248
49,29.953850982744065,0.6241099683544303,1.2276214833759591e-05,141.86223435401917
50,29.953558675468425,0.6387460443037974,1.2531969309462916e-05,141.91710925102234
